Name,BirthDate,CurrentDate,CurrentAge,Gender,Address,Contact_URL,Url,Phone,Party,DateInOffice,EndOfTerm,YearsInOffice,AgeAtTakingOfficeYear,StateAbb,State,District,OfficeAddress,Position,YearNextElection,BelieveClimateChange,Quote,QuoteSource,QuoteURL
Marlin A. Stutzman,31-Aug-76,15-Dec-16,40,M,2418 Rayburn HOB; Washington DC 20515-1403,http://stutzman.house.gov/contacts/new,http://stutzman.house.gov,202-225-4436,Republican,16-Nov-10,3-Jan-17,6,34,IN,Indiana,4,2418 Rayburn House Office Building,rep,2018,No,ñOne regulatory threat that our economy faces is the promulgation of a cap and trade system. My concern with these potential new regulations is that they will begin to regulate anthropogenic (man-made) climate change problems that the science community has not officially determined to exist.î,"Stutzman Website, last accessed February 2016",http://stutzman.house.gov/pages/enviroment
Marsha Blackburn,6-Jun-52,15-Dec-16,64,F,2266 Rayburn HOB; Washington DC 20515-4207,https://blackburn.house.gov/contactform/email.htm,http://blackburn.house.gov,202-225-2811,Republican,7-Jan-03,3-Jan-17,13,50,TN,Tennessee,8,2266 Rayburn House Office Building,rep,2018,No,"Blackburn declared to BBC Radio 4 that the 'jury is still out saying man is the cause for global warming, after the earth started to cool 13 years ago.' After an interviewer pointed out that scientific data showed a substantial rise in temperature on the surface of the Earth, Blackburn countered that 'we've cooled almost 1 degree (F) in the last 13 years.'","Raw Story, 9/24/15",http://www.rawstory.com/2015/09/marsha-blackburn-invents-new-way-to-deny-global-warming-humans-are-not-the-cause-for-carbon-emissions/
Martha McSally,22-Mar-66,15-Dec-16,50,F,1029 Longworth HOB; Washington DC 20515-0302,,https://mcsally.house.gov,202-225-2542,Republican,6-Jan-15,3-Jan-17,1,48,AZ,Arizona,3,1029 Longworth House Office Building,rep,2018,No,,,
Martha Roby,27-Jul-76,15-Dec-16,40,F,442 Cannon HOB; Washington DC 20515-0102,https://roby.house.gov/contact-me,http://roby.house.gov,202-225-2901,Republican,5-Jan-11,3-Jan-17,5,34,AL,Alabama,3,442 Cannon House Office Building,rep,2018,No,,,
Martin Heinrich,17-Oct-71,15-Dec-16,45,M,303 Hart Senate Office Building Washington DC 20510,http://www.heinrich.senate.gov/contact/write-martin,http://www.heinrich.senate.gov,202-224-5521,Democratic,6-Jan-09,3-Jan-19,7,37,NM,New Mexico,,303 Hart Senate Office Building,sen,2018,Yes,,,
Matt Cartwright,1-May-61,15-Dec-16,55,M,1419 Longworth HOB; Washington DC 20515-3817,https://cartwrightforms.house.gov/forms/writeyourrep/,http://cartwright.house.gov,202-225-5546,Democratic,3-Jan-13,3-Jan-17,3,51,PA,Pennsylvania,18,1419 Longworth House Office Building,rep,2018,Yes,,,
Matt Salmon,21-Jan-58,15-Dec-16,58,M,2349 Rayburn HOB; Washington DC 20515-0305,https://salmon.house.gov/contact/email-me,http://salmon.house.gov,202-225-2635,Republican,4-Jan-95,3-Jan-17,21,36,AZ,Arizona,6,2349 Rayburn House Office Building,rep,2018,No,,,
Maxine Waters,15-Aug-38,15-Dec-16,78,F,2221 Rayburn HOB; Washington DC 20515-0543,https://waters.house.gov/contact/contactform.htm,http://waters.house.gov,202-225-2201,Democratic,3-Jan-91,3-Jan-17,25,52,CA,California,44,2221 Rayburn House Office Building,rep,2018,Yes,,,
Mazie K. Hirono,3-Nov-47,15-Dec-16,69,F,330 Hart Senate Office Building Washington DC 20510,http://www.hirono.senate.gov/contact/email,https://www.hirono.senate.gov,202-224-6361,Democratic,4-Jan-07,3-Jan-19,9,59,HI,Hawaii,,330 Hart Senate Office Building,sen,2018,Yes,,,
Mia B. Love,6-Dec-75,15-Dec-16,41,F,217 Cannon HOB; Washington DC 20515-4404,,https://love.house.gov,202-225-3011,Republican,6-Jan-15,3-Jan-17,1,39,UT,Utah,5,217 Cannon House Office Building,rep,2018,No,,,
Michael B. Enzi,1-Feb-44,15-Dec-16,72,M,379A Russell Senate Office Building Washington DC 20510,http://www.enzi.senate.gov/public/index.cfm/contact?p=e-mail-senator-enzi,http://www.enzi.senate.gov,202-224-3424,Republican,7-Jan-97,3-Jan-21,19,52,WY,Wyoming,,379a Russell Senate Office Building,sen,2020,No,ñI barely made it back here because of a May snowstorm in Wyoming. They got 18 inches in Cheyenne. ItÍs a little hard to convince Wyoming people thereÍs global warming. We have 186% of normal snow pack. ThatÍs global warming?î,"Wyoming Public Radio, 5/16/14",http://wyomingpublicmedia.org/post/wyo-lawmakers-reject-new-climate-change-report
Michael C. Burgess,23-Dec-50,15-Dec-16,65,M,2336 Rayburn HOB; Washington DC 20515-4326,http://burgess.house.gov/contact/356345.htm,http://burgess.house.gov,202-225-7772,Republican,7-Jan-03,3-Jan-17,13,52,TX,Texas,27,2336 Rayburn House Office Building,rep,2018,No,"ñMy opinion, for what it is worth, is that the science behind global temperature changes is not settled.î","Subcommittee on Energy and Power Hearing, 3/8/11",https://www.gpo.gov/fdsys/pkg/CHRG-112hhrg66704/html/CHRG-112hhrg66704.htm
Michael E. Capuano,9-Jan-52,15-Dec-16,64,M,1414 Longworth HOB; Washington DC 20515-2107,http://www.house.gov/capuano/contact/email.shtml,http://capuano.house.gov,202-225-5111,Democratic,6-Jan-99,3-Jan-17,17,46,MA,Massachusetts,8,1414 Longworth House Office Building,rep,2018,Yes,,,
Michael F. Bennet,28-Nov-64,15-Dec-16,52,M,261 Russell Senate Office Building Washington DC 20510,http://www.bennet.senate.gov/contact/email,https://www.bennet.senate.gov,202-224-5852,Democratic,22-Jan-09,3-Jan-17,7,44,CO,Colorado,,261 Russell Senate Office Building,sen,2022,Yes,,,
Michael F. Doyle,5-Aug-53,15-Dec-16,63,M,239 Cannon HOB; Washington DC 20515-3814,https://doyle.house.gov/contact-me/email-me,http://doyle.house.gov,202-225-2135,Democratic,4-Jan-95,3-Jan-17,21,41,PA,Pennsylvania,15,239 Cannon House Office Building,rep,2018,Yes,,,
Michael G. Fitzpatrick,28-Jun-63,15-Dec-16,53,M,2400 Rayburn HOB; Washington DC 20515-3808,https://fitzpatrick.house.gov/contact-me/email-me,http://fitzpatrick.house.gov,202-225-4276,Republican,4-Jan-05,3-Jan-17,11,41,PA,Pennsylvania,9,2400 Rayburn House Office Building,rep,2018,Yes,,,
Michael K. Simpson,8-Sep-50,15-Dec-16,66,M,2312 Rayburn HOB; Washington DC 20515-1202,http://simpson.house.gov/contact/,http://simpson.house.gov,202-225-5531,Republican,6-Jan-99,3-Jan-17,17,48,ID,Idaho,3,2312 Rayburn House Office Building,rep,2018,No,ñThere is widespread disagreement as to the magnitude of human influence on the climate and the degree to which any effort by humanity to reduce carbon output would slow or reverse the effects of climate change.î,Mike Simpson Website,http://simpson.house.gov/issuestatements/climatechange.htm
Michael M. Honda,27-Jun-41,15-Dec-16,75,M,1713 Longworth HOB; Washington DC 20515-0517,http://honda.house.gov/contact,https://honda.house.gov,202-225-2631,Democratic,3-Jan-01,3-Jan-17,15,59,CA,California,18,1713 Longworth House Office Building,rep,2018,Yes,,,
Michael R. Turner,11-Jan-60,15-Dec-16,56,M,2239 Rayburn HOB; Washington DC 20515-3510,http://turner.house.gov/contact/,https://turner.house.gov,202-225-6465,Republican,7-Jan-03,3-Jan-17,13,42,OH,Ohio,11,2239 Rayburn House Office Building,rep,2018,No,,,
Michael T. McCaul,14-Jan-62,15-Dec-16,54,M,131 Cannon HOB; Washington DC 20515-4310,https://mccaul.house.gov/contact/email-me,http://mccaul.house.gov,202-225-2401,Republican,4-Jan-05,3-Jan-17,11,42,TX,Texas,11,131 Cannon House Office Building,rep,2018,No,"Rep. McCaul co-sponsored H.Res.954, a resolution that stated: ñWhereas recent events have uncovered extensive evidence from the Climate Research Unit at the University of East Anglia in England (in this resolution referred to as the ïCRUÍ) which involved many researchers across the globe discussing the destruction, altering, and hiding of data that did not support global warming claims.î He also said the Obama administration should not ñbusy DHS with climate politics when terrorism is going viral.î","H.Res.954, GovTrack, 12/8/09 ||| Breitbart, 5/20/15",http://www.govtrack.us/congress/bills/111/hres954/text ||| http://www.breitbart.com/big-government/2015/05/20/homeland-security-chairman-obama-short-changes-real-national-security-threats-for-climate-change/
Michelle Lujan Grisham,24-Oct-59,15-Dec-16,57,F,214 Cannon HOB; Washington DC 20515-3101,http://lujangrisham.house.gov/contact/email-me/,https://lujangrisham.house.gov,202-225-6316,Democratic,3-Jan-13,3-Jan-17,3,53,NM,New Mexico,2,214 Cannon House Office Building,rep,2018,Yes,,,
Mick Mulvaney,21-Jul-67,15-Dec-16,49,M,2419 Rayburn HOB; Washington DC 20515-4005,https://mulvaney.house.gov/email-mick/,https://mulvaney.house.gov,202-225-5501,Republican,5-Jan-11,3-Jan-17,5,43,SC,South Carolina,6,2419 Rayburn House Office Building,rep,2018,No,"During President Obama's second to last State of the Union address, Rep. Mulvaney tweeted, Climate change: the best scientists are 'all' telling us? Really? All? Wasn't aware of that. Interesting. Wrong, but interesting #SOTU #sctweets","Daily Signal, 1/20/15",http://dailysignal.com/2015/01/20/41-members-congress-tweeted-state-union-heres-say/
Mike Bishop,18-Mar-67,15-Dec-16,49,M,428 Cannon HOB; Washington DC 20515-2208,,https://mikebishop.house.gov,202-225-4872,Republican,6-Jan-15,3-Jan-17,1,47,MI,Michigan,9,428 Cannon House Office Building,rep,2018,No,,,
Mike Bost,30-Dec-60,15-Dec-16,55,M,1440 Longworth HOB; Washington DC 20515-1312,,https://bost.house.gov,202-225-5661,Republican,6-Jan-15,3-Jan-17,1,54,IL,Illinois,13,1440 Longworth House Office Building,rep,2018,No,"In a 2014 interview with St. Louis Public Radio, Bost disagreed with his opponent and now former Democratic Congressman Bill Enyart over whether climate change is real. I don't. I don't know that I do; no, Bost said. Some scientists do; some scientists don't believe in climate change he said.","St. Louis Public Radio, 10/16/14",http://news.stlpublicradio.org/post/illinois-12th-district-contenders-highlight-differences
Mike Coffman,19-Mar-55,15-Dec-16,61,M,2443 Rayburn HOB; Washington DC 20515-0606,https://coffman.house.gov/contact/email-me,http://coffman.house.gov,202-225-7882,Republican,6-Jan-09,3-Jan-17,7,53,CO,Colorado,7,2443 Rayburn House Office Building,rep,2018,No,"There is no question that climate change is real and has existed since the beginning of time, and will always be a factor that can negatively impact our environment. The role that carbon emissions, from human activity, have on climate change is still a subject of debate. But what is clear is that we should do all that we can to reduce carbon emissions in order to improve the quality of our environment. However, we should do so under a balanced approach that considers the economic impact of the rate at which we reduce our carbon emissions.",Mike Coffman Website Issues,https://coffman.house.gov/issues/climate-change
Mike Crapo,20-May-51,15-Dec-16,65,M,239 Dirksen Senate Office Building Washington DC 20510,http://www.crapo.senate.gov/contact/email.cfm,http://www.crapo.senate.gov,202-224-6142,Republican,5-Jan-93,3-Jan-17,23,41,ID,Idaho,,239 Dirksen Senate Office Building,sen,2022,No,"The debate over climate change has raged for many years. Natural factors such as solar activity, volcanic eruptions and orbital changes have affected the Earth's climate, resulting in both ice ages and periods of warming as far back as current technology can measur.While there is no dispute over the fact that the Earth's climate has changed many times over the planet's history, the underlying cause of these climactic shifts is ultimately not well-understood and is a matter of vigorous debate.",Crapo Website,http://www.crapo.senate.gov/issues/environment/climate_change.cfm
Mike Kelly,10-May-48,15-Dec-16,68,M,1519 Longworth HOB; Washington DC 20515-3803,https://kelly.house.gov/contact-me/email-me,http://kelly.house.gov,202-225-5406,Republican,5-Jan-11,3-Jan-17,5,62,PA,Pennsylvania,4,1519 Longworth House Office Building,rep,2018,No,,,
Mike Lee,4-Jun-71,15-Dec-16,45,M,361A Russell Senate Office Building Washington DC 20510,http://www.lee.senate.gov/public/index.cfm/contact,http://www.lee.senate.gov,202-224-5444,Republican,5-Jan-11,3-Jan-17,5,39,UT,Utah,,361a Russell Senate Office Building,sen,2022,No,,,
Mike Pompeo,30-Dec-63,15-Dec-16,52,M,436 Cannon HOB; Washington DC 20515-1604,https://pompeo.house.gov/contact/contactform.htm?zip5=$ADDRESS_ZIP5,http://pompeo.house.gov,202-225-6216,Republican,5-Jan-11,3-Jan-17,5,47,KS,Kansas,5,436 Cannon House Office Building,rep,2018,No,"When asked if he believes global warming is a problem, Pompeo responded: Look, I think the science needs to continue to develop. I'm happy to continue to look at it. There are scientists who think lots of different things about climate change. There's some who think we're warming, there's some who think we're cooling, there's some who think that the last 16 years have shown a pretty stable climate environment.","C-SPAN Interview, 6/25/13",http://www.c-span.org/video/?c4456999/mike-pompeo-washington-journal
Mike Quigley,17-Oct-58,15-Dec-16,58,M,2458 Rayburn HOB; Washington DC 20515-1305,https://quigleyforms.house.gov/forms/writeyourrep/,http://quigley.house.gov,202-225-4061,Democratic,7-Apr-09,3-Jan-17,7,50,IL,Illinois,6,2458 Rayburn House Office Building,rep,2018,Yes,,,
Mike Rogers,16-Jul-58,15-Dec-16,58,M,324 Cannon HOB; Washington DC 20515-0103,http://mikerogers.house.gov/contact-mike/email-me,http://mikerogers.house.gov,202-225-3261,Republican,7-Jan-03,3-Jan-17,13,44,AL,Alabama,4,324 Cannon House Office Building,rep,2018,No,,,
Mike Rounds,24-Oct-54,15-Dec-16,62,M,502 Hart Senate Office Building Washington DC 20510,,http://www.rounds.senate.gov,202-224-5842,Republican,6-Jan-15,3-Jan-21,1,60,SD,South Dakota,,502 Hart Senate Office Building,sen,2020,No,,,
Mike Thompson,24-Jan-51,15-Dec-16,65,M,231 Cannon HOB; Washington DC 20515-0505,https://mikethompson.house.gov/contact/email-me,http://mikethompson.house.gov,202-225-3311,Democratic,6-Jan-99,3-Jan-17,17,47,CA,California,6,231 Cannon House Office Building,rep,2018,Yes,,,
Mimi Walters,14-May-62,15-Dec-16,54,F,236 Cannon HOB; Washington DC 20515-0545,,https://walters.house.gov,202-225-5611,Republican,6-Jan-15,3-Jan-17,1,52,CA,California,46,236 Cannon House Office Building,rep,2018,No,,,
Mitch McConnell,20-Feb-42,15-Dec-16,74,M,317 Russell Senate Office Building Washington DC 20510,http://www.mcconnell.senate.gov/public/index.cfm?p=ContactForm,http://www.mcconnell.senate.gov,202-224-2541,Republican,3-Jan-85,3-Jan-21,31,42,KY,Kentucky,,317 Russell Senate Office Building,sen,2020,No,"For everybody who thinks it's warming, I can find somebody who thinks it isn't. More recently, when asked whether he agreed that human activity was driving climate change, McConnell responded, I'm not a scientist.","Cincinatti Inquirer, 3/7/14 ||| ThinkProgress, 10/3/14",http://www.cincinnati.com/story/news/politics/elections/2014/03/07/mcconnell-expect-much-congress-year/6170921/ ||| http://thinkprogress.org/climate/2014/10/03/3575849/not-a-scientist/
Mo Brooks,29-Apr-54,15-Dec-16,62,M,1230 Longworth HOB; Washington DC 20515-0105,https://brooks.house.gov/email-me,http://brooks.house.gov,202-225-4801,Republican,5-Jan-11,3-Jan-17,5,56,AL,Alabama,6,1230 Longworth House Office Building,rep,2018,No,"I'm also old enough to remember when the same left-wing part of our society was creating a global cooling scare in order to generate funds for their pet projects. So 30-some years ago the big scare was global cooling, and once they drained that [topic], they shifted to global warming. So I'm approaching the issue with a healthy degree of skepticism. If the evidence is there to prove it, then so be it.","Science Insider, 2/9/11",http://www.sciencemag.org/news/2011/02/healthy-skeptic-climate-change-promises-hearings-science-subcommittee
Nancy Pelosi,26-Mar-40,15-Dec-16,76,F,233 Cannon HOB; Washington DC 20515-0512,http://pelosi.house.gov/contact-me/email-me,http://pelosi.house.gov,202-225-4965,Democratic,6-Jan-87,3-Jan-17,29,46,CA,California,13,233 Cannon House Office Building,rep,2018,Yes,,,
Niki Tsongas,26-Apr-46,15-Dec-16,70,F,1714 Longworth HOB; Washington DC 20515-2103,https://tsongas.house.gov/e-mail-niki/,http://tsongas.house.gov,202-225-3411,Democratic,16-Oct-07,3-Jan-17,9,61,MA,Massachusetts,4,1714 Longworth House Office Building,rep,2018,Yes,,,
Nita M. Lowey,5-Jul-37,15-Dec-16,79,F,2365 Rayburn HOB; Washington DC 20515-3217,https://lowey.house.gov/contact-form/,http://lowey.house.gov,202-225-6506,Democratic,3-Jan-89,3-Jan-17,27,51,NY,New York,18,2365 Rayburn House Office Building,rep,2018,Yes,,,
Norma J. Torres,4-Apr-65,15-Dec-16,51,F,516 Cannon HOB; Washington DC 20515-0535,,https://torres.house.gov,202-225-6161,Democratic,6-Jan-15,3-Jan-17,1,49,CA,California,36,516 Cannon House Office Building,rep,2018,Yes,,,
Nydia M. Velazquez,28-Mar-53,15-Dec-16,63,F,2302 Rayburn HOB; Washington DC 20515-3207,http://velazquez.house.gov/IMA/issue_subscribe.shtml,http://velazquez.house.gov,202-225-2361,Democratic,5-Jan-93,3-Jan-17,23,39,NY,New York,8,2302 Rayburn House Office Building,rep,2018,Yes,,,
Orrin G. Hatch,22-Mar-34,15-Dec-16,82,M,104 Hart Senate Office Building Washington DC 20510,http://www.hatch.senate.gov/public/index.cfm/contact?p=Email-Orrin,http://www.hatch.senate.gov,202-224-5251,Republican,4-Jan-77,3-Jan-19,39,42,UT,Utah,,104 Hart Senate Office Building,sen,2018,No,ñThere is also some disagreement among scientists as to whether global warming „ regardless of its cause „ would result in a net benefit or detriment to life on earth. Scientific studies demonstrate overwhelmingly that humans tend to fare better during warming spells than periods of cooling.î,Hatch Website,http://web.archive.org/web/20091201233001/http:/hatch.senate.gov/public/index.cfm?FuseAction=Issuepositions.Home
